ts_code,name,signal_trade_date,signal_state,dd250,pos60,green_days,green_peak_pct,green_area_pct,slope3_pct,slope5_pct,slope_accel_pct,hist_expand_pct,predicted_cross_days,r3_pct,daily_pct,vol_ratio,flow3_ratio,market_r3_pct,no_new_low_5,limit_pct,heat_ratio,consecutive_limit_up,strategy,entry_trade_date,entry_adj_open,ret_5d,excess_5d,mdd_5d,ret_10d,excess_10d,mdd_10d,ret_20d,excess_20d,mdd_20d
000014.SZ,沙河股份,20260420,pending,42.32894177645559,36.896551724137936,14,3.7336308221605523,28.644205415376693,0.07552613398497583,0.006965203458446786,0.2042043411611681,0.4083032705473417,1.2223798371619234,3.5087719298245723,1.1931394481730064,0.5407516288023527,0.008991914478744208,1.3636638471378415,True,9.992542878448907,0.11940298507462713,0,pure_shape_window,20260421,13.5,-0.021481481481481435,-0.022514545836581856,-0.06148148148148147,-0.041481481481481564,-0.06548002381006313,-0.06148148148148147,-0.1711111111111111,-0.16992285805549212,-0.17333333333333334
000014.SZ,沙河股份,20260602,pending,53.50616234594136,5.708245243128917,15,2.8393924315627745,27.805048633125537,0.10584109482010759,-0.05810454698636269,0.3460748562722713,0.5868342828866546,1.6853088061649502,1.6728624535315761,-2.234137622877569,1.0681232652477295,0.002544213923209252,-0.574195931241317,False,10.008936550491509,-0.22321428571428573,0,pure_shape_window,20260603,10.93,-0.05215004574565418,-0.03618212484768191,-0.07502287282708142,-0.07593778591033873,-0.0800579531228569,-0.08508691674290958,-0.14821591948764856,-0.15737978916883655,-0.17932296431838968
000027.SZ,深圳能源,20260714,pending,20.94197598030869,7.446221787831574,27,3.2708280593955354,55.899768876538964,0.037649824472665565,-0.05086428806531169,0.14736721809236294,0.33671294349502995,1.189190166719842,2.006688963210679,2.1775544388609696,0.5945762478682134,0.005604559153147641,-1.7208023637983905,False,10.050251256281406,0.21666666666666648,0,pure_shape_window,20260715,6.08,0.049342105263157965,0.07524475993544955,-0.004934210526315819,0.03618421052631571,0.07495575250549447,-0.004934210526315819,0.047697368421052655,0.05602412646570476,-0.004934210526315819
000031.SZ,大悦城,20260331,pending,25.575447570332482,10.714285714285724,29,3.9543223623766264,78.34186694725618,0.056265017488125534,-0.019550157563031637,0.33373611897534383,0.5157502630594611,3.6787745902826026,0.0,-1.689189189189183,0.6759104985860264,0.005439881107398027,0.07140499811844059,True,10.135135135135132,-0.16666666666666613,0,pure_shape_window,20260401,2.96,-0.0033783783783782884,-0.029879071298897886,-0.060810810810810856,-0.016891891891891886,-0.05166934601698192,-0.060810810810810856,0.0033783783783785104,-0.052033140097168085,-0.060810810810810856
000031.SZ,大悦城,20260602,just_cross,29.411764705882348,30.952380952380988,12,3.0455937730874907,22.706453845385433,0.41634581555753364,0.08995411114773028,0.6026448971488753,1.0331857060008334,0.0,8.661417322834652,-3.832752613240429,2.327642996351541,-0.0005390354310325688,-0.574195931241317,False,10.104529616724744,-0.3793103448275871,0,pure_shape_window,20260603,2.7600000000000002,-0.08695652173913071,-0.07098860084115843,-0.10869565217391308,-0.1340579710144928,-0.13817813822701097,-0.14855072463768115,-0.21014492753623193,-0.21930879721741992,-0.24637681159420288
000031.SZ,大悦城,20260703,pending,45.268542199488486,2.0000000000000018,18,1.8299913650211428,22.02843526833177,0.08105089934444137,-0.0477982314236427,0.20315100475423997,0.40109467204988797,1.9414820736338845,0.9433962264151052,-0.46511627906975755,0.6982266852900845,-0.00442966150043209,-1.2395963928462983,False,10.232558139534898,-0.04545454545454442,0,pure_shape_window,20260706,2.15,0.013953488372093092,0.02569577067830653,-0.051162790697674376,-0.03255813953488362,0.03655985287354646,-0.051162790697674376,0.027906976744185963,0.08018181642341382,-0.05581395348837215
000035.SZ,中国天楹,20260528,pending,26.626506024096376,6.751054852320716,20,1.7606325268029397,21.355096429159197,0.08419660482987287,-0.03834384424001711,0.25255947029889486,0.40243219520643564,1.3117053637324638,2.698145025295129,0.8278145695364262,0.7210269073115195,-0.0010987024811013615,-1.2987816745519742,False,10.901966606397707,0.07593259082729456,0,pure_shape_window,20260529,5.98413082010582,-0.06568144499178996,-0.05571356738724653,-0.07060755336617408,-0.17898193760262748,-0.15174821754387036,-0.19211822660098543,-0.1871921182266011,-0.16977876327566832,-0.19211822660098543
000035.SZ,中国天楹,20260617,pending,38.554216867469876,3.906250000000037,34,3.1825836374379906,49.091829998109716,0.10395665828508308,-0.062517185729686,0.397122426590949,0.6371692472036737,1.4623143356750987,2.000000000000024,-0.195694716242676,0.9432981052953539,-0.0027680922403140115,1.8991207990429748,True,10.949033199162074,-0.017873241653669703,0,pure_shape_window,20260618,5.0015149218946835,-0.009823182711198641,-0.012794013680692218,-0.03143418467583514,-0.07465618860510803,-0.05538380996714598,-0.08251473477406679,-0.10609037328094306,-0.051158675568032996,-0.14538310412573696
000058.SZ,深赛格,20260616,pending,39.08560071754809,6.570110556893782,22,2.5897509241564873,29.55243616290155,0.10010656372361246,0.009466066366545995,0.14311550960908442,0.30702821008744263,0.7662037509649698,1.6344725111441472,-0.7256894049346854,0.7672431601713635,-0.002906824980900194,2.6304643421555474,False,10.0145137880987,-0.07246376811594173,0,pure_shape_window,20260617,6.82,-0.07478005865102644,-0.07940425239496152,-0.08211143695014667,-0.0762463343108506,-0.08126934115142759,-0.13049853372434017,-0.09677419354838712,-0.06346109291085067,-0.1378299120234605
000058.SZ,深赛格,20260702,pending,44.78519363286523,4.339809057181602,33,2.857080051811351,39.822030353892096,0.0884185729558368,-0.05705463425224152,0.1895333446115786,0.3584704101184902,1.1077034997817192,1.6393442622950838,-1.5873015873015817,0.9345162121084474,-0.0015466332363187477,-1.104540642205476,False,10.000000000000009,-0.15873015873015803,0,pure_shape_window,20260703,6.22,-0.036977491961414755,-0.03888473531629444,-0.054662379421221874,0.006430868167202508,0.04279093216277374,-0.054662379421221874,0.06109324758842449,0.11674391862206901,-0.054662379421221874
